-----------4.blast8/QE_150611_152.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 species subgroup     Pseudomonas syringae group genomosp. 1  
2061       568     99.57 genus                Pseudomonas                             
1485       66      99.53 species group        Pseudomonas aeruginosa group            
2245       184     99.12 family               Pseudomonadaceae                        
1417       1410    98.75 species              Pseudomonas aeruginosa                  
4          4       19.05 no rank              Pseudomonas aeruginosa B136-33          
3          3       14.29 no rank              Pseudomonas putida W619                 
1          1        4.76 no rank              Gallibacterium anatis UMN179            
1          0        4.76 no rank              Leptospirales                           
1          1        4.76 no rank              Magnetococcus marinus MC-1              
1          1        4.76 no rank              Pseudomonas aeruginosa PA7              
1          1        4.76 no rank              Pseudomonas aeruginosa SCV20265         
1          1        4.76 no rank              Pseudomonas aeruginosa UCBPP-PA14       
1          1        4.76 no rank              Pseudomonas denitrificans ATCC 13867    
1          1        4.76 no rank              Pseudomonas entomophila L48             
1          1        4.76 no rank              Pseudomonas fulva 12-X                  
1          1        4.76 no rank              Pseudomonas mendocina ymp               
1          1        4.76 no rank              Pseudomonas resinovorans NBRC 106553    
1          0        4.76 no rank              Pseudomonas syringae pv. syringae       
1          1        4.76 no rank              Pseudomonas syringae pv. syringae B728a 
1          1        4.76 no rank              Turneriella parva DSM 21527             
11         9        0.49 family               Enterobacteriaceae                      
4          0        0.27 species group        Pseudomonas putida group                
3          0        0.21 species              Pseudomonas putida                      
2          2        0.14 species              Escherichia coli                        
2          0        0.10 genus                Escherichia                             
1          0        0.07 species              Gallibacterium anatis                   
1          1        0.07 species              Legionella pneumophila                  
1          0        0.07 species              Magnetococcus marinus                   
1          1        0.07 species              Mycoplasma gallisepticum                
1          0        0.07 species              Pseudomonas denitrificans               
1          0        0.07 species              Pseudomonas entomophila                 
1          0        0.07 species              Pseudomonas fulva                       
1          0        0.07 species              Pseudomonas mendocina                   
1          1        0.07 species              Pseudomonas protegens                   
1          0        0.07 species              Pseudomonas resinovorans                
1          0        0.07 species              Pseudomonas syringae                    
1          1        0.07 species              Pusillimonas sp. T7-7                   
1          0        0.07 species              Turneriella parva                       
1          0        0.07 species group        Pseudomonas fluorescens group           
1          0        0.07 species group        Pseudomonas pertucinogena group         
1          0        0.07 species group        Pseudomonas syringae group              
1          0        0.05 genus                Gallibacterium                          
1          0        0.05 genus                Legionella                              
1          0        0.05 genus                Magnetococcus                           
1          0        0.05 genus                Mycoplasma                              
1          1        0.05 genus                Pseudoxanthomonas                       
1          0        0.05 genus                Pusillimonas                            
1          0        0.05 genus                Turneriella                             
1          0        0.04 family               Alcaligenaceae                          
1          0        0.04 family               Legionellaceae                          
1          0        0.04 family               Leptospiraceae                          
1          0        0.04 family               Magnetococcaceae                        
1          0        0.04 family               Mycoplasmataceae                        
1          0        0.04 family               Pasteurellaceae                         
1          1        0.04 family               Rhodobacteraceae                        
1          1        0.04 family               Vibrionaceae                            
1          0        0.04 family               Xanthomonadaceae                        
