-----------4.blast8/QE_150611_155.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 species subgroup     Pseudomonas stutzeri subgroup           
861        47      99.65 species group        Pseudomonas aeruginosa group            
1269       106     99.53 family               Pseudomonadaceae                        
1163       298     99.49 genus                Pseudomonas                             
813        809     98.78 species              Pseudomonas aeruginosa                  
2          2       16.67 no rank              Pseudomonas aeruginosa B136-33          
2          2       16.67 no rank              Pseudomonas putida W619                 
1          1        8.33 no rank              Magnetococcus marinus MC-1              
1          1        8.33 no rank              Mycobacterium chubuense NBB4            
1          1        8.33 no rank              Nautilia profundicola AmH               
1          1        8.33 no rank              Pseudomonas aeruginosa PA7              
1          1        8.33 no rank              Pseudomonas aeruginosa UCBPP-PA14       
1          1        8.33 no rank              Pseudomonas entomophila L48             
1          1        8.33 no rank              Pseudomonas resinovorans NBRC 106553    
1          1        8.33 no rank              Pseudomonas stutzeri DSM 10701          
2          0        0.24 species              Pseudomonas putida                      
2          0        0.23 species group        Pseudomonas putida group                
1          1        0.12 species              Alicycliphilus denitrificans            
1          1        0.12 species              Legionella pneumophila                  
1          0        0.12 species              Magnetococcus marinus                   
1          0        0.12 species              Mycobacterium chubuense                 
1          0        0.12 species              Nautilia profundicola                   
1          0        0.12 species              Pseudomonas entomophila                 
1          0        0.12 species              Pseudomonas resinovorans                
1          0        0.12 species              Pseudomonas stutzeri                    
1          0        0.12 species group        Pseudomonas stutzeri group              
1          0        0.09 genus                Alicycliphilus                          
1          1        0.09 genus                Hyphomicrobium                          
1          0        0.09 genus                Legionella                              
1          0        0.09 genus                Magnetococcus                           
1          0        0.09 genus                Mycobacterium                           
1          0        0.09 genus                Nautilia                                
1          0        0.08 family               Comamonadaceae                          
1          0        0.08 family               Hyphomicrobiaceae                       
1          0        0.08 family               Legionellaceae                          
1          0        0.08 family               Magnetococcaceae                        
1          0        0.08 family               Mycobacteriaceae                        
1          0        0.08 family               Nautiliaceae                            
