-----------4.blast8/QE_150611_140.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2          0      100.00 species group        Enterobacter cloacae complex            
1475       1016    98.27 family               Enterobacteriaceae                      
448        186     92.56 genus                Escherichia                             
262        258     92.25 species              Escherichia coli                        
5          0       71.43 subspecies           Syntrophomonas wolfei subsp. wolfei     
5          5       20.00 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
1          0       14.29 subspecies           Enterobacter cloacae subsp. cloacae     
1          0       14.29 subspecies           Morganella morganii subsp. morganii     
3          2       12.00 no rank              Escherichia coli K-12                   
1          1        4.00 no rank              Alteromonas mediterranea U8             
1          0        4.00 no rank              Bacteroidetes/Chlorobi group            
1          1        4.00 no rank              Citrobacter rodentium ICC168            
1          1        4.00 no rank              Corynebacterium kroppenstedtii DSM 44385
1          1        4.00 no rank              Corynebacterium variabile DSM 44702     
1          1        4.00 no rank              Cyanobacterium stanieri PCC 7202        
1          1        4.00 no rank              Enterobacter cloacae subsp. cloacae NCTC 9394
1          1        4.00 no rank              Enterobacter lignolyticus SCF1          
1          1        4.00 no rank              Escherichia coli ED1a                   
1          1        4.00 no rank              Escherichia coli str. K-12 substr. DH10B
1          1        4.00 no rank              Flavobacterium indicum GPTSA100-9 = DSM 17447
1          1        4.00 no rank              Haemophilus influenzae F3031            
1          1        4.00 no rank              Morganella morganii subsp. morganii KT  
1          1        4.00 no rank              Providencia stuartii MRSN 2154          
1          0        4.00 no rank              Streptomyces albidoflavus group         
1          1        4.00 no rank              Streptomyces coelicolor A3(2)           
1          1        4.00 no rank              Tistrella mobilis KA081020-065          
5          0        1.76 species              Syntrophomonas wolfei                   
7          6        1.45 genus                Staphylococcus                          
5          0        1.03 genus                Syntrophomonas                          
7          0        0.47 family               Staphylococcaceae                       
2          0        0.41 genus                Corynebacterium                         
2          0        0.41 genus                Enterobacter                            
2          1        0.41 genus                Pantoea                                 
2          2        0.41 genus                Pseudomonas                             
2          2        0.41 genus                Shewanella                              
1          0        0.35 species              Alteromonas mediterranea                
1          0        0.35 species              Citrobacter rodentium                   
1          0        0.35 species              Corynebacterium kroppenstedtii          
1          0        0.35 species              Corynebacterium variabile               
1          0        0.35 species              Cyanobacterium stanieri                 
1          0        0.35 species              Enterobacter cloacae                    
1          0        0.35 species              Enterobacter lignolyticus               
1          1        0.35 species              Erwinia pyrifoliae                      
1          0        0.35 species              Flavobacterium indicum                  
1          0        0.35 species              Haemophilus influenzae                  
1          0        0.35 species              Morganella morganii                     
1          1        0.35 species              Pantoea ananatis                        
1          0        0.35 species              Providencia stuartii                    
1          1        0.35 species              Staphylococcus aureus                   
1          0        0.35 species              Streptomyces coelicolor                 
1          0        0.35 species              Tistrella mobilis                       
1          1        0.35 species              Yersinia enterocolitica                 
5          0        0.33 family               Syntrophomonadaceae                     
1          0        0.21 genus                Alteromonas                             
1          0        0.21 genus                Citrobacter                             
1          0        0.21 genus                Cyanobacterium                          
1          1        0.21 genus                Dickeya                                 
1          0        0.21 genus                Erwinia                                 
1          0        0.21 genus                Flavobacterium                          
1          0        0.21 genus                Haemophilus                             
1          0        0.21 genus                Morganella                              
1          0        0.21 genus                Providencia                             
1          1        0.21 genus                Streptococcus                           
1          0        0.21 genus                Streptomyces                            
1          0        0.21 genus                Tistrella                               
1          1        0.21 genus                Xenorhabdus                             
1          0        0.21 genus                Yersinia                                
2          0        0.13 family               Corynebacteriaceae                      
2          0        0.13 family               Pseudomonadaceae                        
2          0        0.13 family               Shewanellaceae                          
1          0        0.07 family               Alteromonadaceae                        
1          1        0.07 family               Comamonadaceae                          
1          0        0.07 family               Flavobacteriaceae                       
1          1        0.07 family               Lachnospiraceae                         
1          0        0.07 family               Pasteurellaceae                         
1          0        0.07 family               Rhodospirillaceae                       
1          0        0.07 family               Streptococcaceae                        
1          0        0.07 family               Streptomycetaceae                       
