-----------4.blast8/QE_150611_161.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 species subgroup     Pseudomonas stutzeri subgroup           
358        14      99.44 species group        Pseudomonas aeruginosa group            
344        340     58.11 species              Pseudomonas aeruginosa                  
1          1       50.00 subspecies           Staphylococcus aureus subsp. aureus     
1          0       50.00 subspecies           Syntrophomonas wolfei subsp. wolfei     
525        166     33.89 genus                Pseudomonas                             
498        429     32.15 genus                Streptococcus                           
583        58      29.62 family               Pseudomonadaceae                        
532        34      27.03 family               Streptococcaceae                        
401        297     25.89 genus                Staphylococcus                          
421        20      21.39 family               Staphylococcaceae                       
420        307     21.34 family               Enterobacteriaceae                      
101        100     17.06 species              Staphylococcus aureus                   
67         66      11.32 species              Streptococcus pneumoniae                
61         60      10.30 species              Escherichia coli                        
2          2        8.33 no rank              Thioflavicoccus mobilis 8321            
108        46       6.97 genus                Escherichia                             
1          1        4.17 no rank              Anaerolinea thermophila UNI-1           
1          0        4.17 no rank              ant, tsetse, mealybug, aphid, etc. endosymbionts
1          0        4.17 no rank              aphid secondary symbionts               
1          0        4.17 no rank              Bacteroidetes/Chlorobi group            
1          0        4.17 no rank              Burkholderiales Genera incertae sedis   
1          1        4.17 no rank              Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
1          1        4.17 no rank              Cyanobacterium stanieri PCC 7202        
1          1        4.17 no rank              Escherichia coli K-12                   
1          1        4.17 no rank              Escherichia fergusonii ATCC 35469       
1          1        4.17 no rank              Providencia stuartii MRSN 2154          
1          1        4.17 no rank              Pseudomonas aeruginosa B136-33          
1          1        4.17 no rank              Pseudomonas aeruginosa PA7              
1          1        4.17 no rank              Pseudomonas aeruginosa PAO1             
1          1        4.17 no rank              Pseudomonas aeruginosa UCBPP-PA14       
1          1        4.17 no rank              Rubrivivax gelatinosus IL144            
1          1        4.17 no rank              Saccharophagus degradans 2-40           
1          1        4.17 no rank              Streptococcus oralis Uo5                
1          1        4.17 no rank              Streptococcus pneumoniae P1031          
1          1        4.17 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
1          0        4.17 no rank              unclassified Burkholderiales            
1          0        4.17 no rank              unclassified Enterobacteriaceae         
1          1        4.17 no rank              Vibrio fischeri MJ11                    
2          2        0.34 species              Erwinia pyrifoliae                      
2          2        0.34 species              Staphylococcus argenteus                
2          0        0.34 species              Thioflavicoccus mobilis                 
1          1        0.28 species group        Bacillus subtilis group                 
1          0        0.28 species group        Pseudomonas stutzeri group              
1          0        0.17 species              Aliivibrio fischeri                     
1          0        0.17 species              Anaerolinea thermophila                 
1          0        0.17 species              Candidatus Hamiltonella defensa         
1          0        0.17 species              Cyanobacterium stanieri                 
1          0        0.17 species              Escherichia fergusonii                  
1          0        0.17 species              Providencia stuartii                    
1          1        0.17 species              Pseudomonas stutzeri                    
1          0        0.17 species              Rubrivivax gelatinosus                  
1          0        0.17 species              Saccharophagus degradans                
1          1        0.17 species              Staphylococcus epidermidis              
1          0        0.17 species              Streptococcus oralis                    
1          1        0.17 species              Streptococcus suis                      
1          0        0.17 species              Syntrophomonas wolfei                   
2          0        0.13 genus                Erwinia                                 
2          0        0.13 genus                Thioflavicoccus                         
2          2        0.10 family               Aquificaceae                            
2          0        0.10 family               Chromatiaceae                           
1          0        0.06 genus                Aliivibrio                              
1          0        0.06 genus                Anaerolinea                             
1          0        0.06 genus                Bacillus                                
1          0        0.06 genus                Candidatus Hamiltonella                 
1          1        0.06 genus                Clostridium                             
1          0        0.06 genus                Cyanobacterium                          
1          1        0.06 genus                Dickeya                                 
1          1        0.06 genus                Mycobacterium                           
1          0        0.06 genus                Providencia                             
1          0        0.06 genus                Rubrivivax                              
1          0        0.06 genus                Saccharophagus                          
1          1        0.06 genus                Shewanella                              
1          0        0.06 genus                Syntrophomonas                          
1          0        0.05 family               Anaerolineaceae                         
1          0        0.05 family               Bacillaceae                             
1          0        0.05 family               Cellvibrionaceae                        
1          0        0.05 family               Clostridiaceae                          
1          0        0.05 family               Mycobacteriaceae                        
1          0        0.05 family               Shewanellaceae                          
1          0        0.05 family               Syntrophomonadaceae                     
1          0        0.05 family               Vibrionaceae                            
