-----------4.blast8/QE_150611_146.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2211       1524    98.44 family               Enterobacteriaceae                      
668        289     92.78 genus                Escherichia                             
379        377     89.81 species              Escherichia coli                        
7          0       87.50 subspecies           Syntrophomonas wolfei subsp. wolfei     
2          0       66.67 species group        Pseudomonas aeruginosa group            
1          0       33.33 species group        Enterobacter cloacae complex            
7          7       19.44 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
1          0       12.50 subspecies           Enterobacter cloacae subsp. cloacae     
3          1        8.33 no rank              Bacteroidetes/Chlorobi group            
2          2        5.56 no rank              Alteromonas mediterranea U8             
2          2        5.56 no rank              Tistrella mobilis KA081020-065          
2          2        5.56 no rank              Tolumonas auensis DSM 9187              
2          0        5.56 no rank              unclassified Enterobacteriaceae         
2          0        5.56 no rank              unclassified Enterobacteriaceae (miscellaneous)
1          0        2.78 no rank              Buchnera aphidicola (Cinara cedri)      
1          1        2.78 no rank              Buchnera aphidicola BCc                 
1          1        2.78 no rank              Chitinophaga pinensis DSM 2588          
1          1        2.78 no rank              Citrobacter rodentium ICC168            
1          1        2.78 no rank              Cupriavidus taiwanensis LMG 19424       
1          1        2.78 no rank              Cyanobacterium stanieri PCC 7202        
1          1        2.78 no rank              Dickeya dadantii Ech703                 
1          1        2.78 no rank              Enterobacter cloacae subsp. cloacae NCTC 9394
1          1        2.78 no rank              Escherichia coli ED1a                   
1          1        2.78 no rank              Escherichia coli K-12                   
1          1        2.78 no rank              Flavobacterium indicum GPTSA100-9 = DSM 17447
1          1        2.78 no rank              Haemophilus influenzae F3031            
1          1        2.78 no rank              Marinobacter adhaerens HP15             
1          1        2.78 no rank              Marinomonas posidonica IVIA-Po-181      
1          1        2.78 no rank              Providencia stuartii MRSN 2154          
1          1        2.78 no rank              Selenomonas sputigena ATCC 35185        
7          7        1.66 species              Erwinia pyrifoliae                      
7          0        1.66 species              Syntrophomonas wolfei                   
7          0        0.97 genus                Erwinia                                 
7          0        0.97 genus                Syntrophomonas                          
5          3        0.69 genus                Pseudomonas                             
2          0        0.47 species              Alteromonas mediterranea                
2          2        0.47 species              Plautia stali symbiont                  
2          2        0.47 species              Pseudomonas aeruginosa                  
2          0        0.47 species              Tistrella mobilis                       
2          0        0.47 species              Tolumonas auensis                       
3          3        0.42 genus                Shewanella                              
7          0        0.31 family               Syntrophomonadaceae                     
2          0        0.28 genus                Alteromonas                             
2          2        0.28 genus                Bordetella                              
2          1        0.28 genus                Dickeya                                 
2          0        0.28 genus                Tistrella                               
2          0        0.28 genus                Tolumonas                               
1          0        0.24 species              Buchnera aphidicola                     
1          1        0.24 species              Candidatus Moranella endobia            
1          1        0.24 species              Chelativorans sp. BNC1                  
1          0        0.24 species              Chitinophaga pinensis                   
1          0        0.24 species              Citrobacter rodentium                   
1          0        0.24 species              Cupriavidus taiwanensis                 
1          0        0.24 species              Cyanobacterium stanieri                 
1          1        0.24 species              Desulfovibrio vulgaris                  
1          0        0.24 species              Dickeya dadantii                        
1          0        0.24 species              Enterobacter cloacae                    
1          0        0.24 species              Flavobacterium indicum                  
1          0        0.24 species              Haemophilus influenzae                  
1          1        0.24 species              Legionella pneumophila                  
1          0        0.24 species              Marinobacter adhaerens                  
1          0        0.24 species              Marinomonas posidonica                  
1          1        0.24 species              Methylophaga frappieri                  
1          0        0.24 species              Providencia stuartii                    
1          0        0.24 species              Selenomonas sputigena                   
1          1        0.24 species              Wigglesworthia glossinidia              
5          0        0.22 family               Pseudomonadaceae                        
1          0        0.14 genus                Buchnera                                
1          0        0.14 genus                Candidatus Moranella                    
1          0        0.14 genus                Chelativorans                           
1          0        0.14 genus                Chitinophaga                            
1          0        0.14 genus                Citrobacter                             
1          1        0.14 genus                Cronobacter                             
1          0        0.14 genus                Cupriavidus                             
1          0        0.14 genus                Cyanobacterium                          
1          0        0.14 genus                Desulfovibrio                           
1          1        0.14 genus                Edwardsiella                            
1          0        0.14 genus                Enterobacter                            
1          0        0.14 genus                Flavobacterium                          
1          0        0.14 genus                Haemophilus                             
1          0        0.14 genus                Legionella                              
1          0        0.14 genus                Marinobacter                            
1          0        0.14 genus                Marinomonas                             
1          0        0.14 genus                Methylophaga                            
1          0        0.14 genus                Providencia                             
1          0        0.14 genus                Selenomonas                             
1          0        0.14 genus                Wigglesworthia                          
3          0        0.13 family               Alteromonadaceae                        
3          0        0.13 family               Shewanellaceae                          
2          0        0.09 family               Aeromonadaceae                          
2          0        0.09 family               Alcaligenaceae                          
2          1        0.09 family               Pasteurellaceae                         
2          0        0.09 family               Rhodospirillaceae                       
1          0        0.04 family               Burkholderiaceae                        
1          0        0.04 family               Chitinophagaceae                        
1          0        0.04 family               Desulfovibrionaceae                     
1          0        0.04 family               Flavobacteriaceae                       
1          0        0.04 family               Legionellaceae                          
1          0        0.04 family               Oceanospirillaceae                      
1          0        0.04 family               Phyllobacteriaceae                      
1          0        0.04 family               Piscirickettsiaceae                     
1          0        0.04 family               Veillonellaceae                         
