------------4.blast8/QE_150508_38.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2384       2043    99.13 genus                Streptococcus                           
2493       107     98.65 family               Streptococcaceae                        
326        320     91.57 species              Streptococcus pneumoniae                
4          2       80.00 species group        Streptococcus anginosus group           
2          0       66.67 subspecies           Lactococcus lactis subsp. lactis        
1          1       33.33 subspecies           Streptococcus constellatus subsp. pharyngis
6          6       26.09 no rank              Streptococcus pneumoniae P1031          
1          0       20.00 species group        Burkholderia cepacia complex            
3          3       13.04 no rank              Streptococcus oralis Uo5                
2          2        8.70 no rank              Kangiella koreensis DSM 16069           
2          2        8.70 no rank              Lactococcus lactis subsp. lactis Il1403 
1          0        4.35 no rank              Bacteroidetes/Chlorobi group            
1          1        4.35 no rank              Burkholderia ambifaria MC40-6           
1          1        4.35 no rank              Caldisericum exile AZM16c01             
1          1        4.35 no rank              Erwinia billingiae Eb661                
1          1        4.35 no rank              Herpetosiphon aurantiacus DSM 785       
1          1        4.35 no rank              Pyrobaculum islandicum DSM 4184         
1          1        4.35 no rank              Streptococcus oligofermentans AS 1.3089 
1          1        4.35 no rank              Streptomyces collinus Tu 365            
1          1        4.35 no rank              Thalassolituus oleivorans MIL-1         
1          1        4.35 no rank              Zunongwangia profunda SM-A87            
5          5        1.40 species              Streptococcus suis                      
3          0        0.84 species              Streptococcus oralis                    
2          0        0.56 species              Kangiella koreensis                     
2          0        0.56 species              Lactococcus lactis                      
13         13       0.51 family               Staphylococcaceae                       
1          0        0.28 species              Burkholderia ambifaria                  
1          0        0.28 species              Caldisericum exile                      
1          0        0.28 species              Erwinia billingiae                      
1          1        0.28 species              Gardnerella vaginalis                   
1          0        0.28 species              Herpetosiphon aurantiacus               
1          1        0.28 species              Hyphomicrobium sp. MC1                  
1          1        0.28 species              Lactobacillus reuteri                   
1          1        0.28 species              Microcoleus sp. PCC 7113                
1          1        0.28 species              Paenibacillus sp. JDR-2                 
1          0        0.28 species              Pyrobaculum islandicum                  
1          1        0.28 species              Streptococcus anginosus                 
1          0        0.28 species              Streptococcus constellatus              
1          1        0.28 species              Streptococcus mutans                    
1          0        0.28 species              Streptococcus oligofermentans           
1          1        0.28 species              Streptococcus parasanguinis             
1          0        0.28 species              Streptomyces collinus                   
1          0        0.28 species              Thalassolituus oleivorans               
1          0        0.28 species              Zunongwangia profunda                   
2          0        0.08 genus                Kangiella                               
2          1        0.08 genus                Lactobacillus                           
2          0        0.08 genus                Lactococcus                             
2          0        0.08 family               Alcanivoracaceae                        
2          2        0.08 family               Halomonadaceae                          
2          0        0.08 family               Lactobacillaceae                        
1          1        0.04 genus                Acidiphilium                            
1          1        0.04 genus                Bacillus                                
1          0        0.04 genus                Burkholderia                            
1          0        0.04 genus                Caldisericum                            
1          0        0.04 genus                Erwinia                                 
1          0        0.04 genus                Gardnerella                             
1          0        0.04 genus                Herpetosiphon                           
1          0        0.04 genus                Hyphomicrobium                          
1          0        0.04 genus                Microcoleus                             
1          0        0.04 genus                Paenibacillus                           
1          0        0.04 genus                Pyrobaculum                             
1          0        0.04 genus                Streptomyces                            
1          0        0.04 genus                Thalassolituus                          
1          1        0.04 genus                Thermotoga                              
1          0        0.04 genus                Zunongwangia                            
1          0        0.04 family               Acetobacteraceae                        
1          0        0.04 family               Bacillaceae                             
1          0        0.04 family               Bifidobacteriaceae                      
1          0        0.04 family               Burkholderiaceae                        
1          0        0.04 family               Caldisericaceae                         
1          0        0.04 family               Enterobacteriaceae                      
1          0        0.04 family               Flavobacteriaceae                       
1          0        0.04 family               Herpetosiphonaceae                      
1          0        0.04 family               Hyphomicrobiaceae                       
1          1        0.04 family               Lachnospiraceae                         
1          0        0.04 family               Oceanospirillaceae                      
1          0        0.04 family               Paenibacillaceae                        
1          0        0.04 family               Streptomycetaceae                       
1          0        0.04 family               Thermoproteaceae                        
1          0        0.04 family               Thermotogaceae                          
