-----------4.blast8/QE_150611_143.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2          0      100.00 species group        Enterobacter cloacae complex            
2183       1537    99.00 family               Enterobacteriaceae                      
625        277     93.70 genus                Escherichia                             
348        345     90.86 species              Escherichia coli                        
6          0       66.67 subspecies           Syntrophomonas wolfei subsp. wolfei     
6          6       25.00 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
3          2       12.50 no rank              Escherichia coli K-12                   
1          0       11.11 subspecies           Enterobacter cloacae subsp. cloacae     
1          0       11.11 subspecies           Morganella morganii subsp. morganii     
1          0       11.11 subspecies           Selenomonas ruminantium subsp. lactilytica
1          1        4.17 no rank              Aggregatibacter actinomycetemcomitans D11S-1
1          1        4.17 no rank              Alteromonas mediterranea U8             
1          1        4.17 no rank              Citrobacter rodentium ICC168            
1          1        4.17 no rank              Desulfotalea psychrophila LSv54         
1          1        4.17 no rank              Enterobacter cloacae subsp. cloacae NCTC 9394
1          1        4.17 no rank              Enterobacter lignolyticus SCF1          
1          1        4.17 no rank              Escherichia coli BW2952                 
1          1        4.17 no rank              Morganella morganii subsp. morganii KT  
1          1        4.17 no rank              Polaromonas naphthalenivorans CJ2       
1          1        4.17 no rank              Selenomonas ruminantium subsp. lactilytica TAM6421
1          1        4.17 no rank              Selenomonas sputigena ATCC 35185        
1          0        4.17 no rank              unclassified Enterobacteriaceae         
1          0        4.17 no rank              unclassified Enterobacteriaceae (miscellaneous)
1          0        4.17 no rank              unclassified Gammaproteobacteria        
1          0        4.17 no rank              unclassified Gammaproteobacteria (miscellaneous)
11         11       2.87 species              Erwinia pyrifoliae                      
11         0        1.65 genus                Erwinia                                 
6          0        1.57 species              Syntrophomonas wolfei                   
6          0        0.90 genus                Syntrophomonas                          
3          0        0.45 genus                Enterobacter                            
3          2        0.45 genus                Vibrio                                  
2          0        0.30 genus                Selenomonas                             
2          2        0.30 genus                Shewanella                              
2          1        0.30 genus                Streptococcus                           
6          0        0.27 family               Syntrophomonadaceae                     
1          0        0.26 species              Aggregatibacter actinomycetemcomitans   
1          0        0.26 species              Alteromonas mediterranea                
1          1        0.26 species              Candidatus Moranella endobia            
1          0        0.26 species              Citrobacter rodentium                   
1          0        0.26 species              Desulfotalea psychrophila               
1          1        0.26 species              Enterobacter aerogenes                  
1          0        0.26 species              Enterobacter cloacae                    
1          0        0.26 species              Enterobacter lignolyticus               
1          1        0.26 species              gamma proteobacterium HdN1              
1          1        0.26 species              Klebsiella oxytoca                      
1          0        0.26 species              Morganella morganii                     
1          1        0.26 species              Oceanimonas sp. GK1                     
1          1        0.26 species              Plautia stali symbiont                  
1          0        0.26 species              Polaromonas naphthalenivorans           
1          0        0.26 species              Selenomonas ruminantium                 
1          0        0.26 species              Selenomonas sputigena                   
1          1        0.26 species              Streptococcus pneumoniae                
1          1        0.26 species              Vibrio cholerae                         
1          0        0.15 genus                Aggregatibacter                         
1          0        0.15 genus                Alteromonas                             
1          0        0.15 genus                Candidatus Moranella                    
1          0        0.15 genus                Citrobacter                             
1          0        0.15 genus                Desulfotalea                            
1          1        0.15 genus                Dickeya                                 
1          0        0.15 genus                Klebsiella                              
1          0        0.15 genus                Morganella                              
1          0        0.15 genus                Oceanimonas                             
1          0        0.15 genus                Polaromonas                             
1          1        0.15 genus                Pseudomonas                             
1          1        0.15 genus                Psychrobacter                           
1          1        0.15 genus                Xenorhabdus                             
3          0        0.14 family               Vibrionaceae                            
2          0        0.09 family               Shewanellaceae                          
2          0        0.09 family               Streptococcaceae                        
2          0        0.09 family               Veillonellaceae                         
1          0        0.05 family               Aeromonadaceae                          
1          0        0.05 family               Alteromonadaceae                        
1          0        0.05 family               Comamonadaceae                          
1          0        0.05 family               Desulfobulbaceae                        
1          0        0.05 family               Moraxellaceae                           
1          0        0.05 family               Pasteurellaceae                         
1          0        0.05 family               Pseudomonadaceae                        
