-----------4.blast8/QE_150611_128.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
2221       63      99.15 family               Staphylococcaceae                       
2158       1490    99.08 genus                Staphylococcus                          
661        654     96.50 species              Staphylococcus aureus                   
2          0       66.67 species group        Pseudomonas aeruginosa group            
6          4       60.00 subspecies           Staphylococcus aureus subsp. aureus     
1          0       33.33 species group        Streptococcus dysgalactiae group        
2          0       20.00 subspecies           Staphylococcus saprophyticus subsp. saprophyticus
1          0       10.00 subspecies           Desulfovibrio desulfuricans subsp. desulfuricans
1          1       10.00 subspecies           Streptococcus dysgalactiae subsp. equisimilis
2          2        9.52 no rank              Lysinibacillus sphaericus C3-41         
2          2        9.52 no rank              Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
1          0        4.76 no rank              Bacteroidetes/Chlorobi group            
1          0        4.76 no rank              Burkholderiales Genera incertae sedis   
1          1        4.76 no rank              Chthonomonas calidirosea T49            
1          1        4.76 no rank              Collimonas fungivorans Ter331           
1          1        4.76 no rank              Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
1          1        4.76 no rank              Erythrobacter litoralis HTCC2594        
1          1        4.76 no rank              Neorickettsia risticii str. Illinois    
1          1        4.76 no rank              Robiginitalea biformata HTCC2501        
1          1        4.76 no rank              Rubrivivax gelatinosus IL144            
1          1        4.76 no rank              Spirochaeta smaragdinae DSM 11293       
1          1        4.76 no rank              Staphylococcus aureus RF122             
1          1        4.76 no rank              Staphylococcus aureus subsp. aureus 11819-97
1          1        4.76 no rank              Staphylococcus aureus subsp. aureus str. Newman
1          1        4.76 no rank              Staphylococcus pasteuri SP1             
1          1        4.76 no rank              Streptomyces collinus Tu 365            
1          1        4.76 no rank              Thermobacillus composti KWC4            
1          0        4.76 no rank              unclassified Burkholderiales            
3          3        0.44 species              Staphylococcus argenteus                
2          0        0.29 species              Lysinibacillus sphaericus               
2          2        0.29 species              Pseudomonas aeruginosa                  
2          0        0.29 species              Staphylococcus saprophyticus            
1          1        0.15 species              Alicycliphilus denitrificans            
1          0        0.15 species              Chthonomonas calidirosea                
1          0        0.15 species              Collimonas fungivorans                  
1          0        0.15 species              Desulfovibrio desulfuricans             
1          0        0.15 species              Erythrobacter litoralis                 
1          0        0.15 species              Neorickettsia risticii                  
1          1        0.15 species              Paenibacillus sp. Y412MC10              
1          0        0.15 species              Robiginitalea biformata                 
1          0        0.15 species              Rubrivivax gelatinosus                  
1          0        0.15 species              Spirochaeta smaragdinae                 
1          1        0.15 species              Staphylococcus epidermidis              
1          0        0.15 species              Staphylococcus pasteuri                 
1          0        0.15 species              Streptococcus dysgalactiae              
1          0        0.15 species              Streptomyces collinus                   
1          0        0.15 species              Thermobacillus composti                 
3          2        0.14 genus                Streptococcus                           
3          0        0.13 family               Streptococcaceae                        
2          0        0.09 genus                Lysinibacillus                          
2          0        0.09 genus                Pseudomonas                             
2          0        0.09 family               Bacillaceae                             
2          0        0.09 family               Paenibacillaceae                        
2          0        0.09 family               Pseudomonadaceae                        
1          1        0.05 genus                Acholeplasma                            
1          0        0.05 genus                Alicycliphilus                          
1          0        0.05 genus                Chthonomonas                            
1          0        0.05 genus                Collimonas                              
1          0        0.05 genus                Desulfovibrio                           
1          0        0.05 genus                Erythrobacter                           
1          0        0.05 genus                Neorickettsia                           
1          0        0.05 genus                Paenibacillus                           
1          0        0.05 genus                Robiginitalea                           
1          0        0.05 genus                Rubrivivax                              
1          0        0.05 genus                Spirochaeta                             
1          0        0.05 genus                Streptomyces                            
1          0        0.05 genus                Thermobacillus                          
1          0        0.04 family               Acholeplasmataceae                      
1          0        0.04 family               Anaplasmataceae                         
1          0        0.04 family               Chthonomonadaceae                       
1          0        0.04 family               Comamonadaceae                          
1          0        0.04 family               Desulfovibrionaceae                     
1          0        0.04 family               Erythrobacteraceae                      
1          0        0.04 family               Flavobacteriaceae                       
1          0        0.04 family               Oxalobacteraceae                        
1          0        0.04 family               Spirochaetaceae                         
1          0        0.04 family               Streptomycetaceae                       
