-------5.results/QE_150611_158/QE_150611_158.sqlite3--------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 species subgroup     Pseudomonas syringae group genomosp. 1  
924        43      99.57 species group        Pseudomonas aeruginosa group            
1353       120     99.12 family               Pseudomonadaceae                        
1233       305     99.04 genus                Pseudomonas                             
881        877     98.55 species              Pseudomonas aeruginosa                  
2          2       11.11 no rank              Pseudomonas aeruginosa UCBPP-PA14       
1          1        5.56 no rank              Alkalilimnicola ehrlichii MLHE-1        
1          1        5.56 no rank              Nautilia profundicola AmH               
1          1        5.56 no rank              Octadecabacter antarcticus 307          
1          1        5.56 no rank              Pseudomonas aeruginosa B136-33          
1          1        5.56 no rank              Pseudomonas aeruginosa SCV20265         
1          1        5.56 no rank              Pseudomonas denitrificans ATCC 13867    
1          1        5.56 no rank              Pseudomonas entomophila L48             
1          1        5.56 no rank              Pseudomonas fulva 12-X                  
1          0        5.56 no rank              Pseudomonas syringae pv. syringae       
1          1        5.56 no rank              Pseudomonas syringae pv. syringae B728a 
1          1        5.56 no rank              Syntrophus aciditrophicus SB            
1          1        5.56 no rank              Teredinibacter turnerae T7901           
1          1        5.56 no rank              Thioflavicoccus mobilis 8321            
1          1        5.56 no rank              Variovorax paradoxus S110               
1          0        5.56 no rank              whitefly endosymbionts                  
1          0        5.56 no rank              Zymobacter group                        
2          2        0.16 genus                Hyphomicrobium                          
2          0        0.15 family               Hyphomicrobiaceae                       
1          0        0.11 species              Alkalilimnicola ehrlichii               
1          1        0.11 species              Candidatus Portiera aleyrodidarum       
1          0        0.11 species              Nautilia profundicola                   
1          0        0.11 species              Octadecabacter antarcticus              
1          0        0.11 species              Pseudomonas denitrificans               
1          0        0.11 species              Pseudomonas entomophila                 
1          0        0.11 species              Pseudomonas fulva                       
1          0        0.11 species              Pseudomonas syringae                    
1          1        0.11 species              Psychrobacter sp. PRwf-1                
1          0        0.11 species              Syntrophus aciditrophicus               
1          0        0.11 species              Teredinibacter turnerae                 
1          0        0.11 species              Thioflavicoccus mobilis                 
1          0        0.11 species              Variovorax paradoxus                    
1          0        0.11 species group        Pseudomonas pertucinogena group         
1          0        0.11 species group        Pseudomonas putida group                
1          0        0.11 species group        Pseudomonas syringae group              
1          1        0.11 species group        Vibrio harveyi group                    
1          0        0.08 genus                Alkalilimnicola                         
1          0        0.08 genus                Candidatus Portiera                     
1          0        0.08 genus                Nautilia                                
1          0        0.08 genus                Octadecabacter                          
1          0        0.08 genus                Psychrobacter                           
1          0        0.08 genus                Syntrophus                              
1          0        0.08 genus                Teredinibacter                          
1          0        0.08 genus                Thioflavicoccus                         
1          0        0.08 genus                Variovorax                              
1          0        0.08 genus                Vibrio                                  
1          0        0.07 family               Cellvibrionaceae                        
1          0        0.07 family               Chromatiaceae                           
1          0        0.07 family               Comamonadaceae                          
1          0        0.07 family               Ectothiorhodospiraceae                  
1          0        0.07 family               Halomonadaceae                          
1          0        0.07 family               Moraxellaceae                           
1          0        0.07 family               Nautiliaceae                            
1          0        0.07 family               Rhodobacteraceae                        
1          0        0.07 family               Syntrophaceae                           
1          0        0.07 family               Vibrionaceae                            
