-------5.results/QE_150611_169/QE_150611_169.sqlite3--------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 subfamily            Azotobacter group                       
198        6       99.50 species group        Pseudomonas aeruginosa group            
192        189     50.79 species              Pseudomonas aeruginosa                  
3          0       42.86 subspecies           Selenomonas ruminantium subsp. lactilytica
308        212     32.42 genus                Staphylococcus                          
292        249     30.74 genus                Streptococcus                           
274        75      28.84 genus                Pseudomonas                             
2          0       28.57 subspecies           Syntrophomonas wolfei subsp. wolfei     
324        16      27.39 family               Staphylococcaceae                       
305        30      25.78 family               Pseudomonadaceae                        
302        10      25.53 family               Streptococcaceae                        
93         93      24.60 species              Staphylococcus aureus                   
238        177     20.12 family               Enterobacteriaceae                      
3          3       20.00 no rank              Selenomonas ruminantium subsp. lactilytica TAM6421
1          1       14.29 subspecies           Leuconostoc mesenteroides subsp. mesenteroides
1          0       14.29 subspecies           Pectobacterium carotovorum subsp. carotovorum
2          2       13.33 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
43         43      11.38 species              Streptococcus pneumoniae                
31         31       8.20 species              Escherichia coli                        
1          0        6.67 no rank              Bacteroidetes/Chlorobi group            
1          1        6.67 no rank              Listonella anguillarum serovar O1       
1          1        6.67 no rank              Pectobacterium carotovorum subsp. carotovorum PC1
1          1        6.67 no rank              Pseudomonas aeruginosa B136-33          
1          1        6.67 no rank              Pseudomonas aeruginosa SCV20265         
1          1        6.67 no rank              Pseudomonas aeruginosa UCBPP-PA14       
1          1        6.67 no rank              Pseudomonas poae RE*1-1-14              
1          1        6.67 no rank              Stanieria cyanosphaera PCC 7437         
1          1        6.67 no rank              Thermobaculum terrenum ATCC BAA-798     
1          0        6.67 no rank              unclassified Bacteria                   
60         29       6.32 genus                Escherichia                             
3          0        0.79 species              Selenomonas ruminantium                 
2          2        0.53 species              Staphylococcus epidermidis              
2          0        0.53 species              Syntrophomonas wolfei                   
1          0        0.50 species group        Pseudomonas fluorescens group           
3          0        0.32 genus                Selenomonas                             
1          1        0.26 species              Azotobacter vinelandii                  
1          1        0.26 species              Blattabacterium sp. (Blaberus giganteus)
1          1        0.26 species              Fusobacterium nucleatum                 
1          1        0.26 species              Lactobacillus reuteri                   
1          0        0.26 species              Leuconostoc mesenteroides               
1          0        0.26 species              Pectobacterium carotovorum              
1          0        0.26 species              Pseudomonas poae                        
1          1        0.26 species              Pusillimonas sp. T7-7                   
1          0        0.26 species              Stanieria cyanosphaera                  
1          1        0.26 species              Staphylococcus argenteus                
1          0        0.26 species              Thermobaculum terrenum                  
1          0        0.26 species              Vibrio anguillarum                      
3          0        0.25 family               Veillonellaceae                         
2          0        0.21 genus                Syntrophomonas                          
2          0        0.17 family               Syntrophomonadaceae                     
1          0        0.11 genus                Azotobacter                             
1          0        0.11 genus                Blattabacterium                         
1          0        0.11 genus                Fusobacterium                           
1          0        0.11 genus                Lactobacillus                           
1          0        0.11 genus                Leuconostoc                             
1          0        0.11 genus                Pectobacterium                          
1          0        0.11 genus                Pusillimonas                            
1          1        0.11 genus                Shewanella                              
1          0        0.11 genus                Stanieria                               
1          0        0.11 genus                Thermobaculum                           
1          0        0.11 genus                Vibrio                                  
1          0        0.08 family               Alcaligenaceae                          
1          0        0.08 family               Blattabacteriaceae                      
1          1        0.08 family               Caulobacteraceae                        
1          0        0.08 family               Fusobacteriaceae                        
1          0        0.08 family               Lactobacillaceae                        
1          0        0.08 family               Leuconostocaceae                        
1          1        0.08 family               Rhodobacteraceae                        
1          0        0.08 family               Shewanellaceae                          
1          0        0.08 family               Vibrionaceae                            
