-------5.results/QE_150611_146/QE_150611_146.sqlite3--------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1242       884     98.65 family               Enterobacteriaceae                      
341        146     91.42 genus                Escherichia                             
195        193     88.24 species              Escherichia coli                        
2          0       66.67 species group        Enterobacter cloacae complex            
8          0       53.33 subspecies           Syntrophomonas wolfei subsp. wolfei     
1          1       33.33 species group        Pseudomonas putida group                
8          8       30.77 no rank              Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
3          0       20.00 subspecies           Selenomonas ruminantium subsp. lactilytica
2          0       13.33 subspecies           Morganella morganii subsp. morganii     
3          3       11.54 no rank              Selenomonas ruminantium subsp. lactilytica TAM6421
2          2        7.69 no rank              Morganella morganii subsp. morganii KT  
2          2        7.69 no rank              Shimwellia blattae DSM 4481 = NBRC 105725
1          0        6.67 subspecies           Enterobacter cloacae subsp. cloacae     
1          0        6.67 subspecies           Pectobacterium carotovorum subsp. carotovorum
1          1        3.85 no rank              Candidatus Riesia pediculicola USDA     
1          1        3.85 no rank              Citrobacter rodentium ICC168            
1          1        3.85 no rank              Enterobacter asburiae LF7a              
1          1        3.85 no rank              Enterobacter cloacae subsp. cloacae NCTC 9394
1          1        3.85 no rank              Escherichia coli ED1a                   
1          1        3.85 no rank              Escherichia coli K-12                   
1          1        3.85 no rank              Haemophilus influenzae F3031            
1          1        3.85 no rank              Pectobacterium carotovorum subsp. carotovorum PC1
1          1        3.85 no rank              Raoultella ornithinolytica B6           
1          0        3.85 no rank              unclassified Enterobacteriaceae         
1          0        3.85 no rank              unclassified Enterobacteriaceae (miscellaneous)
8          0        3.62 species              Syntrophomonas wolfei                   
8          0        2.14 genus                Syntrophomonas                          
3          0        1.36 species              Selenomonas ruminantium                 
4          3        1.07 genus                Erwinia                                 
2          0        0.90 species              Morganella morganii                     
2          0        0.90 species              Shimwellia blattae                      
3          2        0.80 genus                Pseudomonas                             
3          0        0.80 genus                Selenomonas                             
8          0        0.64 family               Syntrophomonadaceae                     
2          0        0.54 genus                Enterobacter                            
2          0        0.54 genus                Morganella                              
2          0        0.54 genus                Shimwellia                              
1          1        0.45 species              Candidatus Pantoea carbekii             
1          0        0.45 species              Candidatus Riesia pediculicola          
1          0        0.45 species              Citrobacter rodentium                   
1          0        0.45 species              Enterobacter asburiae                   
1          0        0.45 species              Enterobacter cloacae                    
1          1        0.45 species              Erwinia pyrifoliae                      
1          0        0.45 species              Haemophilus influenzae                  
1          1        0.45 species              Pasteurella multocida                   
1          0        0.45 species              Pectobacterium carotovorum              
1          1        0.45 species              Plautia stali symbiont                  
1          0        0.45 species              Raoultella ornithinolytica              
1          0        0.27 genus                Candidatus Riesia                       
1          0        0.27 genus                Citrobacter                             
1          1        0.27 genus                Edwardsiella                            
1          0        0.27 genus                Haemophilus                             
1          0        0.27 genus                Pantoea                                 
1          0        0.27 genus                Pasteurella                             
1          0        0.27 genus                Pectobacterium                          
1          0        0.27 genus                Raoultella                              
3          0        0.24 family               Pseudomonadaceae                        
3          0        0.24 family               Veillonellaceae                         
2          0        0.16 family               Pasteurellaceae                         
1          1        0.08 family               Chromatiaceae                           
